this is the ground truth
i =  0   result: 1
i =  1   result: 0.367879
i =  2   result: 0.135335
i =  3   result: 0.0497871
i =  4   result: 0.0183156
i =  5   result: 0.00673795
i =  6   result: 0.00247875
i =  7   result: 0.000911882
i =  8   result: 0.000335463
i =  9   result: 0.00012341
i = 10   result: 4.53999e-05
i = 11   result: 1.67017e-05
i = 12   result: 6.14421e-06
i = 13   result: 2.26033e-06
i = 14   result: 8.31529e-07
i = 15   result: 3.05902e-07
i = 16   result: 1.12535e-07
i = 17   result: 4.13994e-08
i = 18   result: 1.523e-08
i = 19   result: 5.6028e-09
i = 20   result: 2.06115e-09

this is the second method
delta is 0.5
i =  0   result: 1
i =  1   result: 0.25
i =  2   result: 0.0625
i =  3   result: 0.015625
i =  4   result: 0.00390625
i =  5   result: 0.000976562
i =  6   result: 0.000244141
i =  7   result: 6.10352e-05
i =  8   result: 1.52588e-05
i =  9   result: 3.8147e-06
i = 10   result: 9.53674e-07
i = 11   result: 2.38419e-07
i = 12   result: 5.96046e-08
i = 13   result: 1.49012e-08
i = 14   result: 3.72529e-09
i = 15   result: 9.31323e-10
i = 16   result: 2.32831e-10
i = 17   result: 5.82077e-11
i = 18   result: 1.45519e-11
i = 19   result: 3.63798e-12
i = 20   result: 9.09495e-13

delta is 1
i =  0   result: 0
i =  1   result: 0
i =  2   result: 0
i =  3   result: 0
i =  4   result: 0
i =  5   result: 0
i =  6   result: 0
i =  7   result: 0
i =  8   result: 0
i =  9   result: 0
i = 10   result: 0
i = 11   result: 0
i = 12   result: 0
i = 13   result: 0
i = 14   result: 0
i = 15   result: 0
i = 16   result: 0
i = 17   result: 0
i = 18   result: 0
i = 19   result: 0
i = 20   result: 0

delta is 2
i =  0   result: 0
i =  1   result: -1
i =  2   result: -1
i =  3   result: 1
i =  4   result: 1
i =  5   result: -1
i =  6   result: -1
i =  7   result: 1
i =  8   result: 1
i =  9   result: -1
i = 10   result: -1
i = 11   result: 1
i = 12   result: 1
i = 13   result: -1
i = 14   result: -1
i = 15   result: 1
i = 16   result: 1
i = 17   result: -1
i = 18   result: -1
i = 19   result: 1
i = 20   result: 1


this is the third method
delta is 0.5
i =  0   result: 1
i =  1   result: 0.444444
i =  2   result: 0.197531
i =  3   result: 0.0877915
i =  4   result: 0.0390184
i =  5   result: 0.0173415
i =  6   result: 0.00770735
i =  7   result: 0.00342549
i =  8   result: 0.00152244
i =  9   result: 0.000676639
i = 10   result: 0.000300729
i = 11   result: 0.000133657
i = 12   result: 5.94032e-05
i = 13   result: 2.64014e-05
i = 14   result: 1.1734e-05
i = 15   result: 5.2151e-06
i = 16   result: 2.31782e-06
i = 17   result: 1.03014e-06
i = 18   result: 4.57841e-07
i = 19   result: 2.03485e-07
i = 20   result: 9.04377e-08

delta is 1
i =  0   result: 0
i =  1   result: 0.5
i =  2   result: 0.25
i =  3   result: 0.125
i =  4   result: 0.0625
i =  5   result: 0.03125
i =  6   result: 0.015625
i =  7   result: 0.0078125
i =  8   result: 0.00390625
i =  9   result: 0.00195312
i = 10   result: 0.000976562
i = 11   result: 0.000488281
i = 12   result: 0.000244141
i = 13   result: 0.00012207
i = 14   result: 6.10352e-05
i = 15   result: 3.05176e-05
i = 16   result: 1.52588e-05
i = 17   result: 7.62939e-06
i = 18   result: 3.8147e-06
i = 19   result: 1.90735e-06
i = 20   result: 9.53674e-07

delta is 2
i =  0   result: 0
i =  1   result: 0.333333
i =  2   result: 0.333333
i =  3   result: 0.111111
i =  4   result: 0.111111
i =  5   result: 0.037037
i =  6   result: 0.037037
i =  7   result: 0.0123457
i =  8   result: 0.0123457
i =  9   result: 0.00411523
i = 10   result: 0.00411523
i = 11   result: 0.00137174
i = 12   result: 0.00137174
i = 13   result: 0.000457247
i = 14   result: 0.000457247
i = 15   result: 0.000152416
i = 16   result: 0.000152416
i = 17   result: 5.08053e-05
i = 18   result: 5.08053e-05
i = 19   result: 1.69351e-05
i = 20   result: 1.69351e-05

