deltaT = 0.500000 
t          groundTruth        BackEuler         errorBackEuler          Trapezoidal           errorTrapezodial
0.0           1.00000                1.00000                0.00000                1.00000                0.00000
0.0           0.60653                0.66667                0.06014                0.60000                0.00653
0.5           0.36788                0.44444                0.07657                0.36000                0.00788
1.0           0.22313                0.29630                0.07317                0.21600                0.00713
1.5           0.13534                0.19753                0.06220                0.12960                0.00574
2.0           0.08208                0.13169                0.04960                0.07776                0.00432
2.5           0.04979                0.08779                0.03800                0.04666                0.00313
3.0           0.03020                0.05853                0.02833                0.02799                0.00220
3.5           0.01832                0.03902                0.02070                0.01680                0.00152
4.0           0.01111                0.02601                0.01490                0.01008                0.00103
4.5           0.00674                0.01734                0.01060                0.00605                0.00069
5.0           0.00409                0.01156                0.00747                0.00363                0.00046
5.5           0.00248                0.00771                0.00523                0.00218                0.00030
6.0           0.00150                0.00514                0.00363                0.00131                0.00020
6.5           0.00091                0.00343                0.00251                0.00078                0.00013
7.0           0.00055                0.00228                0.00173                0.00047                0.00008
7.5           0.00034                0.00152                0.00119                0.00028                0.00005
8.0           0.00020                0.00101                0.00081                0.00017                0.00003
8.5           0.00012                0.00068                0.00055                0.00010                0.00002
9.0           0.00007                0.00045                0.00038                0.00006                0.00001
9.5           0.00005                0.00030                0.00026                0.00004                0.00001
10.0           0.00003                0.00020                0.00017                0.00002                0.00001
10.5           0.00002                0.00013                0.00012                0.00001                0.00000
11.0           0.00001                0.00009                0.00008                0.00001                0.00000
11.5           0.00001                0.00006                0.00005                0.00000                0.00000
12.0           0.00000                0.00004                0.00004                0.00000                0.00000
12.5           0.00000                0.00003                0.00002                0.00000                0.00000
13.0           0.00000                0.00002                0.00002                0.00000                0.00000
13.5           0.00000                0.00001                0.00001                0.00000                0.00000
14.0           0.00000                0.00001                0.00001                0.00000                0.00000
14.5           0.00000                0.00001                0.00000                0.00000                0.00000
15.0           0.00000                0.00000                0.00000                0.00000                0.00000
15.5           0.00000                0.00000                0.00000                0.00000                0.00000
16.0           0.00000                0.00000                0.00000                0.00000                0.00000
16.5           0.00000                0.00000                0.00000                0.00000                0.00000
17.0           0.00000                0.00000                0.00000                0.00000                0.00000
17.5           0.00000                0.00000                0.00000                0.00000                0.00000
18.0           0.00000                0.00000                0.00000                0.00000                0.00000
18.5           0.00000                0.00000                0.00000                0.00000                0.00000
19.0           0.00000                0.00000                0.00000                0.00000                0.00000
19.5           0.00000                0.00000                0.00000                0.00000                0.00000
20.0           0.00000                0.00000                0.00000                0.00000                0.00000

deltaT = 1.000000 
t          groundTruth        BackEuler         errorBackEuler          Trapezoidal           errorTrapezodial
0.0           1.00000                1.00000                0.00000                1.00000                0.00000
0.0           0.36788                0.50000                0.13212                0.33333                0.03455
1.0           0.13534                0.25000                0.11466                0.11111                0.02422
2.0           0.04979                0.12500                0.07521                0.03704                0.01275
3.0           0.01832                0.06250                0.04418                0.01235                0.00597
4.0           0.00674                0.03125                0.02451                0.00412                0.00262
5.0           0.00248                0.01562                0.01315                0.00137                0.00111
6.0           0.00091                0.00781                0.00690                0.00046                0.00045
7.0           0.00034                0.00391                0.00357                0.00015                0.00018
8.0           0.00012                0.00195                0.00183                0.00005                0.00007
9.0           0.00005                0.00098                0.00093                0.00002                0.00003
10.0           0.00002                0.00049                0.00047                0.00001                0.00001
11.0           0.00001                0.00024                0.00024                0.00000                0.00000
12.0           0.00000                0.00012                0.00012                0.00000                0.00000
13.0           0.00000                0.00006                0.00006                0.00000                0.00000
14.0           0.00000                0.00003                0.00003                0.00000                0.00000
15.0           0.00000                0.00002                0.00002                0.00000                0.00000
16.0           0.00000                0.00001                0.00001                0.00000                0.00000
17.0           0.00000                0.00000                0.00000                0.00000                0.00000
18.0           0.00000                0.00000                0.00000                0.00000                0.00000
19.0           0.00000                0.00000                0.00000                0.00000                0.00000
20.0           0.00000                0.00000                0.00000                0.00000                0.00000
